command,intent,target_type,attribute,spatial_relation,spatial_reference,position
copy text to the left of the notifications,copy,text,NONE,left_of,notifications,NONE
click on purple icon above the settings,click,icon,purple,above,settings,NONE
scroll down to the 1st blue text below the last item,scroll,text,blue,below,last item,1st
long-press red image to the right of the payment,long-press,image,red,right_of,payment,NONE
open menu next to the first email,open,menu,NONE,next_to,first email,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
delete gray text to the right of the cart,delete,text,gray,right_of,cart,NONE
remove button to the left of the settings,delete,button,NONE,left_of,settings,NONE
press and hold button,long-press,button,NONE,NONE,NONE,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
copy the last text to the left of the address,copy,text,NONE,left_of,address,last
paste text below the home,paste,text,NONE,below,home,NONE
select the 1st black text,click,text,black,NONE,NONE,1st
paste the 3rd pink text to the left of the first email,paste,text,pink,left_of,first email,3rd
tap on button above the payment,tap,button,NONE,above,payment,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
tap purple tab above the wi-fi,tap,tab,purple,above,wi-fi,NONE
scroll down to menu next to the home,scroll,menu,NONE,next_to,home,NONE
scroll to the last menu,scroll,menu,NONE,NONE,NONE,last
press and hold the last text,long-press,text,NONE,NONE,NONE,last
click switch to the left of the help,click,switch,NONE,left_of,help,NONE
tap the 2nd yellow link,tap,link,yellow,NONE,NONE,2nd
paste text below the search,paste,text,NONE,below,search,NONE
copy text next to the last item,copy,text,NONE,next_to,last item,NONE
remove green image,delete,image,green,NONE,NONE,NONE
press and hold the 2nd red text,long-press,text,red,NONE,NONE,2nd
copy text to the left of the first email,copy,text,NONE,left_of,first email,NONE
tap the 1st switch,tap,switch,NONE,NONE,NONE,1st
click on switch to the right of the login,click,switch,NONE,right_of,login,NONE
click image to the left of the cart,click,image,NONE,left_of,cart,NONE
press and hold orange text,long-press,text,orange,NONE,NONE,NONE
scroll down to tab next to the profile,scroll,tab,NONE,next_to,profile,NONE
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
copy pink text below the address,copy,text,pink,below,address,NONE
press the 3rd pink switch,click,switch,pink,NONE,NONE,3rd
tap on the 3rd red checkbox above the home,tap,checkbox,red,above,home,3rd
press and hold text to the left of the wi-fi,long-press,text,NONE,left_of,wi-fi,NONE
tap the 3rd link,tap,link,NONE,NONE,NONE,3rd
paste text below the wi-fi,paste,text,NONE,below,wi-fi,NONE
press and hold the last image,long-press,image,NONE,NONE,NONE,last
select purple checkbox next to the payment,click,checkbox,purple,next_to,payment,NONE
paste green text above the last item,paste,text,green,above,last item,NONE
remove image next to the settings,delete,image,NONE,next_to,settings,NONE
scroll down to the 2nd white tab to the left of the first email,scroll,tab,white,left_of,first email,2nd
trash the 2nd image to the left of the checkout,delete,image,NONE,left_of,checkout,2nd
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
tap on icon to the left of the wi-fi,tap,icon,NONE,left_of,wi-fi,NONE
paste text to the right of the last item,paste,text,NONE,right_of,last item,NONE
launch the 1st button,open,button,NONE,NONE,NONE,1st
tap on link below the search,tap,link,NONE,below,search,NONE
scroll to menu to the left of the payment,scroll,menu,NONE,left_of,payment,NONE
launch menu,open,menu,NONE,NONE,NONE,NONE
click checkbox above the help,click,checkbox,NONE,above,help,NONE
scroll to the 3rd menu below the help,scroll,menu,NONE,below,help,3rd
press and hold the 1st blue icon below the cart,long-press,icon,blue,below,cart,1st
scroll down to red menu,scroll,menu,red,NONE,NONE,NONE
trash text below the search,delete,text,NONE,below,search,NONE
scroll down to text to the right of the notifications,scroll,text,NONE,right_of,notifications,NONE
press icon to the left of the settings,click,icon,NONE,left_of,settings,NONE
press and hold text to the right of the wi-fi,long-press,text,NONE,right_of,wi-fi,NONE
launch the last link above the help,open,link,NONE,above,help,last
scroll to black menu to the left of the settings,scroll,menu,black,left_of,settings,NONE
long-press button next to the first email,long-press,button,NONE,next_to,first email,NONE
copy the 1st text,copy,text,NONE,NONE,NONE,1st
click purple switch to the left of the wi-fi,click,switch,purple,left_of,wi-fi,NONE
paste text to the left of the last item,paste,text,NONE,left_of,last item,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
tap on icon to the left of the address,tap,icon,NONE,left_of,address,NONE
launch button,open,button,NONE,NONE,NONE,NONE
press and hold text above the settings,long-press,text,NONE,above,settings,NONE
tap the 2nd link to the left of the address,tap,link,NONE,left_of,address,2nd
tap checkbox below the payment,tap,checkbox,NONE,below,payment,NONE
copy text to the left of the checkout,copy,text,NONE,left_of,checkout,NONE
press and hold icon below the help,long-press,icon,NONE,below,help,NONE
select icon to the right of the notifications,click,icon,NONE,right_of,notifications,NONE
delete button,delete,button,NONE,NONE,NONE,NONE
scroll to text next to the last item,scroll,text,NONE,next_to,last item,NONE
press and hold text below the help,long-press,text,NONE,below,help,NONE
scroll down to green menu above the home,scroll,menu,green,above,home,NONE
tap the 1st black button,tap,button,black,NONE,NONE,1st
scroll down to purple menu,scroll,menu,purple,NONE,NONE,NONE
copy white text,copy,text,white,NONE,NONE,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
press text next to the wi-fi,click,text,NONE,next_to,wi-fi,NONE
scroll to tab to the right of the cart,scroll,tab,NONE,right_of,cart,NONE
launch button next to the settings,open,button,NONE,next_to,settings,NONE
scroll down to gray text above the settings,scroll,text,gray,above,settings,NONE
scroll down to text to the left of the help,scroll,text,NONE,left_of,help,NONE
copy text above the help,copy,text,NONE,above,help,NONE
trash black button,delete,button,black,NONE,NONE,NONE
open button below the notifications,open,button,NONE,below,notifications,NONE
tap the last link next to the last item,tap,link,NONE,next_to,last item,last
copy text,copy,text,NONE,NONE,NONE,NONE
open link to the right of the search,open,link,NONE,right_of,search,NONE
launch tab next to the help,open,tab,NONE,next_to,help,NONE
press and hold text next to the cart,long-press,text,NONE,next_to,cart,NONE
scroll to the 1st tab below the checkout,scroll,tab,NONE,below,checkout,1st
open the 3rd green menu,open,menu,green,NONE,NONE,3rd
tap tab next to the search,tap,tab,NONE,next_to,search,NONE
long-press the 2nd icon,long-press,icon,NONE,NONE,NONE,2nd
press and hold orange text to the right of the address,long-press,text,orange,right_of,address,NONE
launch link to the left of the last item,open,link,NONE,left_of,last item,NONE
paste white text next to the last item,paste,text,white,next_to,last item,NONE
press the 1st white checkbox to the left of the help,click,checkbox,white,left_of,help,1st
paste the 3rd orange text to the left of the home,paste,text,orange,left_of,home,3rd
scroll down to the 3rd pink text below the wi-fi,scroll,text,pink,below,wi-fi,3rd
press and hold button next to the menu,long-press,button,NONE,next_to,menu,NONE
launch icon next to the home,open,icon,NONE,next_to,home,NONE
press and hold the 2nd icon next to the wi-fi,long-press,icon,NONE,next_to,wi-fi,2nd
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
copy the 1st text above the search,copy,text,NONE,above,search,1st
remove the last text next to the help,delete,text,NONE,next_to,help,last
paste text next to the search,paste,text,NONE,next_to,search,NONE
paste text to the right of the notifications,paste,text,NONE,right_of,notifications,NONE
long-press the 3rd text above the settings,long-press,text,NONE,above,settings,3rd
paste text to the right of the checkout,paste,text,NONE,right_of,checkout,NONE
delete green button next to the notifications,delete,button,green,next_to,notifications,NONE
launch link next to the last item,open,link,NONE,next_to,last item,NONE
delete black text below the payment,delete,text,black,below,payment,NONE
scroll to the last tab,scroll,tab,NONE,NONE,NONE,last
copy text to the left of the home,copy,text,NONE,left_of,home,NONE
tap on the 2nd icon to the left of the home,tap,icon,NONE,left_of,home,2nd
paste orange text,paste,text,orange,NONE,NONE,NONE
open menu to the left of the cart,open,menu,NONE,left_of,cart,NONE
copy text above the help,copy,text,NONE,above,help,NONE
copy green text to the right of the notifications,copy,text,green,right_of,notifications,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
click icon above the home,click,icon,NONE,above,home,NONE
scroll down to text next to the address,scroll,text,NONE,next_to,address,NONE
open pink icon,open,icon,pink,NONE,NONE,NONE
click on image,click,image,NONE,NONE,NONE,NONE
copy text above the address,copy,text,NONE,above,address,NONE
trash orange image above the first email,delete,image,orange,above,first email,NONE
click the last button below the notifications,click,button,NONE,below,notifications,last
copy the 1st text next to the settings,copy,text,NONE,next_to,settings,1st
open button to the right of the checkout,open,button,NONE,right_of,checkout,NONE
copy text to the right of the settings,copy,text,NONE,right_of,settings,NONE
remove image to the right of the home,delete,image,NONE,right_of,home,NONE
press and hold red icon below the checkout,long-press,icon,red,below,checkout,NONE
long-press text above the wi-fi,long-press,text,NONE,above,wi-fi,NONE
press and hold white button below the payment,long-press,button,white,below,payment,NONE
remove the last button below the settings,delete,button,NONE,below,settings,last
scroll down to pink tab next to the profile,scroll,tab,pink,next_to,profile,NONE
scroll to menu next to the home,scroll,menu,NONE,next_to,home,NONE
press and hold gray image,long-press,image,gray,NONE,NONE,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
tap on tab to the right of the profile,tap,tab,NONE,right_of,profile,NONE
paste text next to the wi-fi,paste,text,NONE,next_to,wi-fi,NONE
click pink link next to the last item,click,link,pink,next_to,last item,NONE
open red menu above the wi-fi,open,menu,red,above,wi-fi,NONE
scroll down to green menu,scroll,menu,green,NONE,NONE,NONE
launch the 3rd icon,open,icon,NONE,NONE,NONE,3rd
scroll to text to the left of the menu,scroll,text,NONE,left_of,menu,NONE
click icon next to the home,click,icon,NONE,next_to,home,NONE
press and hold image next to the settings,long-press,image,NONE,next_to,settings,NONE
tap on switch to the left of the profile,tap,switch,NONE,left_of,profile,NONE
paste the 1st text below the notifications,paste,text,NONE,below,notifications,1st
tap the 1st purple checkbox,tap,checkbox,purple,NONE,NONE,1st
press and hold black icon next to the checkout,long-press,icon,black,next_to,checkout,NONE
remove yellow text below the profile,delete,text,yellow,below,profile,NONE
select black image to the right of the checkout,click,image,black,right_of,checkout,NONE
launch gray menu next to the profile,open,menu,gray,next_to,profile,NONE
scroll to green menu to the left of the first email,scroll,menu,green,left_of,first email,NONE
open green icon,open,icon,green,NONE,NONE,NONE
paste text to the left of the wi-fi,paste,text,NONE,left_of,wi-fi,NONE
paste text to the left of the cart,paste,text,NONE,left_of,cart,NONE
launch the 2nd icon to the right of the menu,open,icon,NONE,right_of,menu,2nd
scroll to pink tab below the cart,scroll,tab,pink,below,cart,NONE
long-press gray button,long-press,button,gray,NONE,NONE,NONE
paste text next to the profile,paste,text,NONE,next_to,profile,NONE
press and hold orange button,long-press,button,orange,NONE,NONE,NONE
remove purple text next to the first email,delete,text,purple,next_to,first email,NONE
scroll down to the 2nd red menu below the first email,scroll,menu,red,below,first email,2nd
long-press the 1st yellow image below the settings,long-press,image,yellow,below,settings,1st
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
tap on the 1st tab,tap,tab,NONE,NONE,NONE,1st
scroll to the 2nd text next to the notifications,scroll,text,NONE,next_to,notifications,2nd
remove text,delete,text,NONE,NONE,NONE,NONE
press and hold icon to the left of the first email,long-press,icon,NONE,left_of,first email,NONE
launch menu,open,menu,NONE,NONE,NONE,NONE
remove text below the notifications,delete,text,NONE,below,notifications,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
